model,emotion,precision,recall,f1,support
random_forest,angry,0.586,0.607,0.596,28
random_forest,calm,0.647,0.759,0.698,29
random_forest,disgust,0.559,0.655,0.603,29
random_forest,fearful,0.633,0.655,0.644,29
random_forest,happy,0.5,0.31,0.383,29
random_forest,neutral,0.4,0.571,0.471,14
random_forest,sad,0.462,0.414,0.436,29
random_forest,surprised,0.8,0.69,0.741,29
svm,angry,0.8,0.714,0.755,28
svm,calm,0.654,0.586,0.618,29
svm,disgust,0.639,0.793,0.708,29
svm,fearful,0.538,0.724,0.618,29
svm,happy,0.455,0.172,0.25,29
svm,neutral,0.306,0.786,0.44,14
svm,sad,0.625,0.345,0.444,29
svm,surprised,0.704,0.655,0.679,29
cnn,angry,0.7,0.75,0.724,28
cnn,calm,0.719,0.793,0.754,29
cnn,disgust,0.793,0.793,0.793,29
cnn,fearful,0.6,0.621,0.61,29
cnn,happy,0.75,0.517,0.612,29
cnn,neutral,0.526,0.714,0.606,14
cnn,sad,0.444,0.414,0.429,29
cnn,surprised,0.759,0.759,0.759,29
